id,name,DividendRecentAvg,DividendRecentSlope,Category,CurrentClosingPrice,CurrentTrend,CurrentTrendPercent,CurrentTurnover,CurrentPE,CurrentPEAvg,CurrentRecentTrendPercent,CurrentRecentTrendComment,URL
5522,遠雄,0.0699,-0.00925,營建,58.9,0.1,0.0017,826,6.67,25.95,0.0017,跌→漲,https://tw.stock.yahoo.com/quote/5522/dividend
2357,華碩,0.06546,-0.016175,電腦週邊,266,-27,-0.0922,8516,7.12,27.21,0.0922,漲→跌,https://tw.stock.yahoo.com/quote/2357/dividend
3005,神基,0.0621,0.0003,電腦週邊,56.8,-0.6,-0.0105,4118,13.51,27.21,0.0105,漲→跌,https://tw.stock.yahoo.com/quote/3005/dividend
2301,光寶科,0.06116,0.000075,電腦週邊,74.4,1.3,0.0178,13260,11.89,27.21,0.0178,連3跌→漲,https://tw.stock.yahoo.com/quote/2301/dividend
3034,聯詠,0.05742,0.0411,半導體,428,4,0.0094,5238,9.22,22.82,0.0094,連3跌→漲,https://tw.stock.yahoo.com/quote/3034/dividend
6176,瑞儀,0.05536,0.0049,光電,106.5,0.5,0.0047,2113,7.33,82.66,0.0047,跌→漲,https://tw.stock.yahoo.com/quote/6176/dividend
2458,義隆,0.0552,-0.015725,半導體,102.5,-1.5,-0.0144,1904,13.76,22.82,0.0421,連2跌,https://tw.stock.yahoo.com/quote/2458/dividend
2404,漢唐,0.0541,0.004633,其他電子,229,0.5,0.0022,1377,11.3,36.55,0.0022,跌→漲,https://tw.stock.yahoo.com/quote/2404/dividend
1102,亞泥,0.05356,-0.01495,水泥,42.85,0,0,5951,9.87,42.21,0,跌→平,https://tw.stock.yahoo.com/quote/1102/dividend
3231,緯創,0.05318,0.008333,電腦週邊,33.65,0.05,0.0015,14925,7.67,27.21,0.0015,跌→漲,https://tw.stock.yahoo.com/quote/3231/dividend
4938,和碩,0.05256,0.004133,電腦週邊,69.4,0.4,0.0058,5155,10.28,27.21,0.0058,跌→漲,https://tw.stock.yahoo.com/quote/4938/dividend
2376,技嘉,0.05204,0.024633,電腦週邊,118.5,-1.5,-0.0125,4684,8.55,27.21,0.0125,連2漲→跌,https://tw.stock.yahoo.com/quote/2376/dividend
2542,興富發,0.052,0.004567,營建,41.8,-0.15,-0.0036,2254,29.75,25.95,0.0036,平→跌,https://tw.stock.yahoo.com/quote/2542/dividend
2327,國巨,0.05198,-0.046,電子零組件,519,1,0.0019,3242,9.27,19.76,0.0019,連3跌→漲,https://tw.stock.yahoo.com/quote/2327/dividend
2324,仁寶,0.05116,0.006667,電腦週邊,24.65,0,0,25977,11.41,27.21,0,連3跌→平,https://tw.stock.yahoo.com/quote/2324/dividend
2227,裕日車,0.0501,-0.007667,汽車,200.5,-1,-0.005,46,21.85,23.6,0.0147,連3跌,https://tw.stock.yahoo.com/quote/2227/dividend
3702,大聯大,0.049,-0.0003,電子通路,49,-0.25,-0.0051,7250,8.81,9.7,0.0316,連3跌,https://tw.stock.yahoo.com/quote/3702/dividend
2385,群光,0.0487,-0.012075,電子零組件,93.9,0.7,0.0075,3461,9.1,19.76,0.0086,連2漲,https://tw.stock.yahoo.com/quote/2385/dividend
2915,潤泰全,0.04806,0.0017,貿易百貨,65.5,-0.5,-0.0076,2678,3.7,37.84,0.0253,連3跌,https://tw.stock.yahoo.com/quote/2915/dividend
2382,廣達,0.04782,0.006767,電腦週邊,81.6,0.1,0.0012,8164,10.74,27.21,0.0012,跌→漲,https://tw.stock.yahoo.com/quote/2382/dividend
2347,聯強,0.04698,-0.012925,電子通路,61.5,0.2,0.0033,5739,6.49,9.7,0.0033,連3跌→漲,https://tw.stock.yahoo.com/quote/2347/dividend
2356,英業達,0.04642,-0.000167,電腦週邊,27.35,0.3,0.0111,15737,15.64,27.21,0.013,連2漲,https://tw.stock.yahoo.com/quote/2356/dividend
2474,可成,0.0447,0.001767,其他電子,186,1.5,0.0081,3563,12.09,36.55,0.0081,連2跌→漲,https://tw.stock.yahoo.com/quote/2474/dividend
3044,健鼎,0.0446,0.004233,電子零組件,108,0,0,1903,9.15,19.76,0,跌→平,https://tw.stock.yahoo.com/quote/3044/dividend
2353,宏碁,0.04446,0.016733,電腦週邊,25.7,-0.1,-0.0039,12749,9.59,27.21,0.0077,連3跌,https://tw.stock.yahoo.com/quote/2353/dividend
3706,神達,0.04388,-0.000475,電腦週邊,28.5,-0.15,-0.0052,3425,3.69,27.21,0.029,連4跌,https://tw.stock.yahoo.com/quote/3706/dividend
1101,台泥,0.04378,-0.017067,水泥,36.75,0.05,0.0014,22293,49.59,42.21,0.0014,連3跌→漲,https://tw.stock.yahoo.com/quote/1101/dividend
6239,力成,0.04366,-0.014025,半導體,90.3,1,0.0112,1954,7.69,22.82,0.0112,連3跌→漲,https://tw.stock.yahoo.com/quote/6239/dividend
1303,南亞,0.04354,-0.015975,塑膠,74.7,0.7,0.0095,5445,18.27,46.43,0.0095,連3跌→漲,https://tw.stock.yahoo.com/quote/1303/dividend
2377,微星,0.04334,0.0087,電腦週邊,138,1,0.0073,4626,8.7,27.21,0.0073,連3跌→漲,https://tw.stock.yahoo.com/quote/2377/dividend
2441,超豐,0.04326,-0.015525,半導體,54.2,-0.3,-0.0055,1716,9.82,22.82,0.0217,連2跌,https://tw.stock.yahoo.com/quote/2441/dividend
2408,南亞科,0.04312,-0.027275,半導體,58.5,-0.2,-0.0034,6154,12.44,22.82,0.041,連3跌,https://tw.stock.yahoo.com/quote/2408/dividend
2352,佳世達,0.0427,-0.0105,電腦週邊,30.5,-0.1,-0.0033,5461,7.29,27.21,0.0129,連3跌,https://tw.stock.yahoo.com/quote/2352/dividend
2492,華新科,0.04166,-0.0169,電子零組件,95,-0.3,-0.0031,1538,28.03,19.76,0.0686,連4跌,https://tw.stock.yahoo.com/quote/2492/dividend
2449,京元電子,0.0413,-0.010375,半導體,47.75,0.8,0.017,18464,8.24,22.82,0.017,跌→漲,https://tw.stock.yahoo.com/quote/2449/dividend
2883,開發金,0.04082,0.012867,金融業,12.8,-0.1,-0.0078,49799,14.49,18.11,0.034,連4跌,https://tw.stock.yahoo.com/quote/2883/dividend
2609,陽明,0.0407,0,航運,69.1,0.4,0.0058,88650,1.08,28.26,0.0422,連3漲,https://tw.stock.yahoo.com/quote/2609/dividend
1301,台塑,0.04008,-0.0126,塑膠,90.1,0.3,0.0033,5151,15.81,46.43,0.0033,連2跌→漲,https://tw.stock.yahoo.com/quote/1301/dividend
2890,永豐金,0.04002,-0.001233,金融業,16.8,-0.05,-0.003,18939,12.04,18.11,0.0233,連3跌,https://tw.stock.yahoo.com/quote/2890/dividend
2606,裕民,0.0399,-0.013,航運,57.3,-1.1,-0.0188,11634,11.21,28.26,0.0386,連2跌,https://tw.stock.yahoo.com/quote/2606/dividend
1326,台化,0.0391,-0.0141,塑膠,69.1,-0.3,-0.0043,2816,55.08,46.43,0.0281,連3跌,https://tw.stock.yahoo.com/quote/1326/dividend
1402,遠東新,0.039,-0.013275,紡織,31.35,0.1,0.0032,9127,17.96,19.42,0.0032,連3跌→漲,https://tw.stock.yahoo.com/quote/1402/dividend
2882,國泰金,0.03892,0.011833,金融業,42.3,-0.4,-0.0094,24346,8.73,18.11,0.0331,連3跌,https://tw.stock.yahoo.com/quote/2882/dividend
1717,長興,0.03886,0.000975,化學,31.85,-0.15,-0.0047,1127,14.41,46.96,0.0319,連4跌,https://tw.stock.yahoo.com/quote/1717/dividend
2891,中信金,0.0387,0.002333,金融業,22.2,-0.05,-0.0022,30881,11.13,18.11,0.0242,連3跌,https://tw.stock.yahoo.com/quote/2891/dividend
2886,兆豐金,0.03854,-0.0057,金融業,32.55,-0.1,-0.0031,17929,23.16,18.11,0.0225,連3跌,https://tw.stock.yahoo.com/quote/2886/dividend
2885,元大金,0.03828,0.005633,金融業,22.35,0.05,0.0022,13282,10.67,18.11,0.0022,連3跌→漲,https://tw.stock.yahoo.com/quote/2885/dividend
1907,永豐餘,0.03786,0.004733,造紙,27.1,-0.2,-0.0073,1674,15.78,30.94,0.0321,連2跌,https://tw.stock.yahoo.com/quote/1907/dividend
9917,中保科,0.03758,0.000967,其他,102,0,0,455,17.29,151.27,0,連3平,https://tw.stock.yahoo.com/quote/9917/dividend
2313,華通,0.03728,0.00735,電子零組件,45.15,-0.1,-0.0022,14284,6.74,19.76,0.0394,連3跌,https://tw.stock.yahoo.com/quote/2313/dividend
2809,京城銀,0.03714,0.0037,金融業,34.6,0.05,0.0014,1011,17.36,18.11,0.0014,跌→漲,https://tw.stock.yahoo.com/quote/2809/dividend
2603,長榮,0.03712,0.0553,航運,170.5,5.5,0.0333,47893,0.91,28.26,0.059,連3漲,https://tw.stock.yahoo.com/quote/2603/dividend
4904,遠傳,0.0371,-0.012325,通訊網路,70.5,0,0,4761,23.9,35.18,0,跌→平,https://tw.stock.yahoo.com/quote/4904/dividend
2881,富邦金,0.03668,0.005233,金融業,57.7,-0.6,-0.0103,16856,8.32,18.11,0.0383,連3跌,https://tw.stock.yahoo.com/quote/2881/dividend
2317,鴻海,0.03656,-0.000033,其他電子,103,1,0.0098,23571,9.69,36.55,0.0098,連3跌→漲,https://tw.stock.yahoo.com/quote/2317/dividend
1605,華新,0.03608,-0.01875,電器電纜,52.3,0.8,0.0155,51327,9.92,13.46,0.0155,連3跌→漲,https://tw.stock.yahoo.com/quote/1605/dividend
2303,聯電,0.03598,-0.0099,半導體,52.5,0.5,0.0096,50725,7.46,22.82,0.0096,跌→漲,https://tw.stock.yahoo.com/quote/2303/dividend
2454,聯發科,0.03504,-0.007,半導體,764,8,0.0106,4930,10.18,22.82,0.0106,連3跌→漲,https://tw.stock.yahoo.com/quote/2454/dividend
3711,日月光投控,0.03488,0.013533,半導體,108.5,1.5,0.014,10357,7.4,22.82,0.014,連3跌→漲,https://tw.stock.yahoo.com/quote/3711/dividend
2889,國票金,0.03466,0,金融業,13.2,0.05,0.0038,7640,20.55,18.11,0.0038,連2平→漲,https://tw.stock.yahoo.com/quote/2889/dividend
2002,中鋼,0.03424,-0.01,鋼鐵,31,0.4,0.0131,20477,26.15,21.86,0.0131,連2跌→漲,https://tw.stock.yahoo.com/quote/2002/dividend
2027,大成鋼,0.0341,-0.016525,鋼鐵,45.35,0.95,0.0214,24758,5.55,21.86,0.0214,連2跌→漲,https://tw.stock.yahoo.com/quote/2027/dividend
3045,台灣大,0.03388,-0.0019,通訊網路,98,0.2,0.002,3563,25.01,35.18,0.002,連2跌→漲,https://tw.stock.yahoo.com/quote/3045/dividend
2337,旺宏,0.03384,-0.0106,半導體,34,-0.1,-0.0029,5619,7.05,22.82,0.049,連6跌,https://tw.stock.yahoo.com/quote/2337/dividend
1227,佳格,0.03376,0.000833,食品,41.3,-0.4,-0.0096,1074,25.9,25.46,0.0384,連3跌,https://tw.stock.yahoo.com/quote/1227/dividend
2379,瑞昱,0.03352,0.016533,半導體,386,6.5,0.0171,2737,12.01,22.82,0.0171,跌→漲,https://tw.stock.yahoo.com/quote/2379/dividend
1722,台肥,0.03338,-0.011475,化學,56.1,-0.1,-0.0018,1184,20.66,46.96,0.041,連4跌,https://tw.stock.yahoo.com/quote/1722/dividend
2892,第一金,0.03278,-0.002267,金融業,26.25,-0.1,-0.0038,22635,17.68,18.11,0.0187,連3跌,https://tw.stock.yahoo.com/quote/2892/dividend
6456,GIS-KY,0.03258,0.005033,光電,82.4,0,0,1283,8.09,82.66,0,跌→平,https://tw.stock.yahoo.com/quote/6456/dividend
4958,臻鼎-KY,0.0324,0.000767,電子零組件,115.5,1.5,0.0132,4987,7.5,19.76,0.0132,跌→漲,https://tw.stock.yahoo.com/quote/4958/dividend
6213,聯茂,0.03178,-0.008075,電子零組件,75.2,0.9,0.0121,1417,14.54,19.76,0.0121,跌→漲,https://tw.stock.yahoo.com/quote/6213/dividend
1210,大成,0.03164,-0.003533,食品,50.1,-0.2,-0.004,2013,21.5,25.46,0.0234,連3跌,https://tw.stock.yahoo.com/quote/1210/dividend
2354,鴻準,0.03118,-0.003933,其他電子,53.6,0,0,2150,17.69,36.55,0,連3跌→平,https://tw.stock.yahoo.com/quote/2354/dividend
1504,東元,0.03076,0.002133,電機,34.9,-0.2,-0.0057,20330,22.08,22.33,0.0306,連2跌,https://tw.stock.yahoo.com/quote/1504/dividend
2615,萬海,0.03044,-0.007775,航運,80.5,1.4,0.0177,17440,1.74,28.26,0.0177,跌→漲,https://tw.stock.yahoo.com/quote/2615/dividend
2888,新光金,0.03032,0.007433,金融業,8.4,-0.14,-0.0164,55769,65.69,18.11,0.0422,連4跌,https://tw.stock.yahoo.com/quote/2888/dividend
9904,寶成,0.0302,0.004633,其他,32.95,-0.25,-0.0075,4439,5.65,151.27,0.0365,連4跌,https://tw.stock.yahoo.com/quote/9904/dividend
5876,上海商銀,0.03016,0.000133,金融業,45.45,-0.4,-0.0087,6901,14.89,18.11,0.0502,連4跌,https://tw.stock.yahoo.com/quote/5876/dividend
2383,台光電,0.02996,-0.007,電子零組件,180,-3.5,-0.0191,2551,12.04,19.76,0.0769,連3跌,https://tw.stock.yahoo.com/quote/2383/dividend
2412,中華電,0.02978,-0.01,通訊網路,119,1.5,0.0128,12194,25,35.18,0.0128,連2跌→漲,https://tw.stock.yahoo.com/quote/2412/dividend
5880,合庫金,0.02972,-0.000367,金融業,26.1,-0.05,-0.0019,10734,18.81,18.11,0.0206,連4跌,https://tw.stock.yahoo.com/quote/5880/dividend
6285,啟碁,0.02956,-0.0117,通訊網路,88.2,1.7,0.0197,5019,14.13,35.18,0.0197,連3跌→漲,https://tw.stock.yahoo.com/quote/6285/dividend
1477,聚陽,0.02906,0.005433,紡織,221.5,5.5,0.0255,1336,15.33,19.42,0.0255,跌→漲,https://tw.stock.yahoo.com/quote/1477/dividend
1216,統一,0.02876,-0.007725,食品,68.5,0.1,0.0015,7032,22.65,25.46,0.0015,連2跌→漲,https://tw.stock.yahoo.com/quote/1216/dividend
2845,遠東銀,0.02856,-0.00915,金融業,11.2,-0.05,-0.0044,8612,13.72,18.11,0.0175,連2跌,https://tw.stock.yahoo.com/quote/2845/dividend
6278,台表科,0.02846,-0.00465,光電,92.7,0.9,0.0098,3648,6.64,82.66,0.0098,平→漲,https://tw.stock.yahoo.com/quote/6278/dividend
2887,台新金,0.02798,-0.0002,金融業,16.15,0,0,21023,14.17,18.11,0,連2跌→平,https://tw.stock.yahoo.com/quote/2887/dividend
3008,大立光,0.02796,0.00515,光電,2405,40,0.0169,493,13.95,82.66,0.0169,連2跌→漲,https://tw.stock.yahoo.com/quote/3008/dividend
1229,聯華,0.02752,-0.005667,食品,53.8,-0.1,-0.0019,915,21.3,25.46,0.0182,連3跌,https://tw.stock.yahoo.com/quote/1229/dividend
6669,緯穎,0.02718,-0.011225,電腦週邊,915,-20,-0.0214,1476,11.53,27.21,0.0368,連2跌,https://tw.stock.yahoo.com/quote/6669/dividend
9941,裕融,0.02658,-0.010425,其他,179.5,0.5,0.0028,1783,18.42,151.27,0.0028,跌→漲,https://tw.stock.yahoo.com/quote/9941/dividend
2409,友達,0.02652,-0.01345,光電,18.25,0.1,0.0055,29891,0,0,0.0055,連2跌→漲,https://tw.stock.yahoo.com/quote/2409/dividend
6271,同欣電,0.02636,0.001033,半導體,213.5,-2.5,-0.0116,1394,11.31,22.82,0.0532,連4跌,https://tw.stock.yahoo.com/quote/6271/dividend
3665,貿聯-KY,0.02632,0,其他電子,270.5,-1,-0.0037,1518,12.19,36.55,0.0591,連5跌,https://tw.stock.yahoo.com/quote/3665/dividend
8464,億豐,0.02626,-0.000267,其他,320,-4.5,-0.0139,565,15.5,151.27,0.0643,連4跌,https://tw.stock.yahoo.com/quote/8464/dividend
3481,群創,0.0253,0.026,光電,14.55,0.1,0.0069,59599,0,0,0.0069,連2跌→漲,https://tw.stock.yahoo.com/quote/3481/dividend
3532,台勝科,0.02524,-0.018675,半導體,156,-3,-0.0189,1773,12.79,22.82,0.0574,連2跌,https://tw.stock.yahoo.com/quote/3532/dividend
2912,統一超,0.02496,-0.007175,貿易百貨,269.5,2,0.0075,660,29.96,37.84,0.0075,跌→漲,https://tw.stock.yahoo.com/quote/2912/dividend
2330,台積電,0.0249,-0.00255,半導體,516,3,0.0058,21439,13.09,22.82,0.0058,跌→漲,https://tw.stock.yahoo.com/quote/2330/dividend
1802,台玻,0.02434,0.0206,玻璃,21.15,-0.05,-0.0024,3271,18.28,44.93,0.0683,連5跌,https://tw.stock.yahoo.com/quote/1802/dividend
2105,正新,0.0241,0.002167,橡膠,34.65,0.25,0.0073,2219,22.48,24.08,0.0073,連4跌→漲,https://tw.stock.yahoo.com/quote/2105/dividend
2633,台灣高鐵,0.02408,0.0004,航運,29.95,0.05,0.0017,3694,44.63,28.26,0.0017,連2跌→漲,https://tw.stock.yahoo.com/quote/2633/dividend
6505,台塑化,0.0237,-0.010125,油電燃氣,83.1,-0.2,-0.0024,1999,55.17,29.07,0.0303,連3跌,https://tw.stock.yahoo.com/quote/6505/dividend
